Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,7.886802,7.905625,7.867979,7.886802,1.190477,33800
1982-01-04,7.867979,7.886802,7.849156,7.849156,1.184795,65000
1982-01-05,7.867979,7.886802,7.849156,7.849156,1.184795,318000
1982-01-06,7.660927,7.811511,7.491521,7.585635,1.145018,369200
1982-01-07,7.397406,7.453875,7.322114,7.453875,1.125129,151400
1982-01-08,7.604458,7.755042,7.453875,7.717396,1.164906,305400
1982-01-11,7.303292,7.679750,6.908010,6.908010,1.042733,687300
1982-01-12,6.851542,6.926833,6.757427,6.757427,1.020003,238400
1982-01-13,6.569198,6.700958,6.437438,6.437438,0.971702,478100
1982-01-14,6.512729,6.550375,6.475083,6.475083,0.977385,130100
1982-01-15,6.588021,6.663312,6.512729,6.663312,1.005798,564400
1982-01-18,6.569198,6.606844,6.512729,6.531552,0.985908,813500
1982-01-19,6.550375,6.588021,6.493906,6.550375,0.988750,345300
1982-01-20,6.644490,6.757427,6.531552,6.719781,1.014321,763000
1982-01-21,6.870365,6.945656,6.776250,6.926833,1.045574,56400
1982-01-22,7.039771,7.115063,6.964479,7.115063,1.073987,82300
1982-01-25,7.265646,7.303292,7.228000,7.265646,1.096717,70300
1982-01-26,7.322114,7.378583,7.265646,7.322114,1.105240,292800
1982-01-27,7.322114,7.322114,7.303292,7.322114,1.105240,95600
1982-01-28,7.322114,7.340938,7.303292,7.340938,1.108082,67000
1982-01-29,7.397406,7.453875,7.322114,7.397406,1.116606,115500
1982-02-01,7.453875,7.529167,7.378583,7.453875,1.125129,320700
1982-02-02,7.491521,7.566813,7.416229,7.566813,1.142176,79600
1982-02-03,7.698573,7.980917,7.416229,7.491521,1.130811,929700
1982-02-04,7.491521,7.604458,7.378583,7.435052,1.122288,195200
1982-02-05,7.491521,7.566813,7.397406,7.529167,1.136494,132800
1982-02-08,7.435052,7.529167,7.322114,7.322114,1.105240,71000
1982-02-09,7.228000,7.303292,7.133885,7.171531,1.082511,156700
1982-02-10,7.020948,7.115063,6.926833,6.926833,1.045574,39100
1982-02-11,6.889187,6.926833,6.851542,6.908010,1.042733,61000
1982-02-12,6.870365,6.908010,6.813896,6.813896,1.028527,51100
1982-02-16,6.870365,6.964479,6.776250,6.964479,1.051257,71000
1982-02-17,7.039771,7.058594,7.002125,7.002125,1.056940,35100
1982-02-18,7.058594,7.133885,6.983302,7.115063,1.073987,161300
1982-02-19,7.096240,7.115063,7.077417,7.096240,1.071145,94200
1982-02-22,7.039771,7.152709,6.926833,6.926833,1.045574,146700
1982-02-23,6.851542,6.889187,6.813896,6.832719,1.041556,71700
1982-02-24,6.870365,6.908010,6.832719,6.851542,1.044426,67700
1982-02-25,6.908010,6.926833,6.870365,6.889187,1.050165,71000
1982-02-26,6.889187,6.889187,6.889187,6.889187,1.050165,4600
1982-03-01,6.889187,6.889187,6.889187,6.889187,1.050165,17900
1982-03-02,6.908010,6.926833,6.889187,6.889187,1.050165,19200
1982-03-03,6.945656,7.002125,6.889187,6.945656,1.058772,108900
1982-03-04,6.945656,6.964479,6.926833,6.945656,1.058772,182600
1982-03-05,6.945656,6.964479,6.926833,6.926833,1.055903,102200
1982-03-08,6.813896,6.964479,6.663312,6.663312,1.015734,222400
1982-03-09,6.418614,6.569198,6.249208,6.437438,0.981301,230400
1982-03-10,6.475083,6.512729,6.437438,6.475083,0.987040,183200
1982-03-11,6.362146,6.512729,6.192739,6.192739,0.944001,389800
1982-03-12,6.004510,6.098625,5.910396,5.985688,0.912439,312100
1982-03-15,5.985688,6.004510,5.948041,5.985688,0.912439,303400
1982-03-16,5.985688,6.004510,5.966865,5.985688,0.912439,309400
1982-03-17,6.023334,6.042156,5.985688,6.042156,0.921046,250300
1982-03-18,6.192739,6.249208,6.117448,6.249208,0.952609,261600
1982-03-19,6.362146,6.380969,6.324500,6.380969,0.972693,87600
1982-03-22,6.531552,6.569198,6.475083,6.569198,1.001387,29200
1982-03-23,6.663312,6.776250,6.550375,6.776250,1.032949,102900
1982-03-24,6.795073,6.813896,6.776250,6.813896,1.038688,34500
1982-03-25,6.908010,7.002125,6.813896,6.926833,1.055903,110200
1982-03-26,6.945656,7.002125,6.889187,6.964479,1.061642,115500
1982-03-29,6.983302,7.002125,6.964479,7.002125,1.067381,117500
1982-03-30,7.058594,7.077417,7.020948,7.077417,1.078858,33200
1982-03-31,7.058594,7.115063,7.002125,7.002125,1.067381,141400
1982-04-01,6.964479,7.002125,6.926833,6.945656,1.058772,140100
1982-04-02,7.096240,7.228000,6.945656,7.152709,1.090335,624900
1982-04-05,6.945656,7.115063,6.776250,6.795073,1.035818,454200
1982-04-06,6.832719,6.851542,6.795073,6.851542,1.044426,154000
1982-04-07,6.889187,6.926833,6.851542,6.870365,1.047296,238400
1982-04-08,6.870365,6.889187,6.851542,6.870365,1.047296,75000
1982-04-12,7.058594,7.152709,6.964479,7.115063,1.084597,253000
1982-04-13,7.435052,7.529167,7.340938,7.340938,1.119029,272200
1982-04-14,7.322114,7.359760,7.265646,7.303292,1.113289,118200
1982-04-15,7.303292,7.340938,7.265646,7.303292,1.113289,164600
1982-04-16,7.322114,7.359760,7.265646,7.303292,1.113289,178600
1982-04-19,7.322114,7.340938,7.303292,7.303292,1.113289,27800
1982-04-20,7.284469,7.303292,7.265646,7.284469,1.110420,65700
1982-04-21,7.209177,7.228000,7.171531,7.209177,1.098943,67000
1982-04-22,7.209177,7.265646,7.152709,7.228000,1.101813,278200
1982-04-23,7.265646,7.284469,7.228000,7.246823,1.104682,74300
1982-04-26,7.322114,7.416229,7.228000,7.416229,1.130506,79600
1982-04-27,7.416229,7.453875,7.378583,7.378583,1.124767,58400
1982-04-28,7.359760,7.397406,7.322114,7.322114,1.116158,136800
1982-04-29,7.303292,7.322114,7.265646,7.284469,1.110420,56400
1982-04-30,7.284469,7.303292,7.246823,7.246823,1.104682,53100
1982-05-03,7.435052,7.642104,7.228000,7.566813,1.153460,479400
1982-05-04,7.736219,7.886802,7.585635,7.811511,1.190761,1107600
1982-05-05,8.037385,8.206792,7.849156,8.056209,1.228062,614200
1982-05-06,8.056209,8.169146,7.924448,7.924448,1.207977,935600
1982-05-07,7.962094,8.018562,7.886802,7.943271,1.210846,293500
1982-05-10,7.943271,7.980917,7.886802,7.886802,1.202238,405700
1982-05-11,7.849156,7.886802,7.811511,7.886802,1.202238,138100
1982-05-12,7.886802,8.112677,7.660927,7.679750,1.170675,77000
1982-05-13,7.660927,7.698573,7.623281,7.642104,1.164937,68400
1982-05-14,7.660927,7.679750,7.623281,7.660927,1.167806,189200
1982-05-17,7.660927,7.679750,7.623281,7.623281,1.162068,18500
1982-05-18,7.642104,7.679750,7.585635,7.679750,1.170675,35800
1982-05-19,7.736219,7.830333,7.642104,7.830333,1.193630,118200
1982-05-20,7.679750,7.830333,7.510344,7.566813,1.153460,237700
1982-05-21,7.585635,7.604458,7.566813,7.585635,1.156329,98900
1982-05-24,7.604458,7.642104,7.547989,7.547989,1.150591,326700
1982-05-25,7.585635,7.642104,7.529167,7.585635,1.166804,209100
1982-05-26,7.510344,7.529167,7.491521,7.510344,1.155222,154000
