Date,Open,High,Low,Close,Adj Close,Volume
10/9/1997,5.64604,6.562691,5.64604,6.323565,3.413663,10201100
10/10/1997,7.014374,7.040944,6.363419,6.61583,3.571436,10668500
10/13/1997,6.629115,6.629115,6.443128,6.469697,3.492549,3043300
10/14/1997,6.416558,6.429843,6.031299,6.204001,3.349118,2549200
10/15/1997,5.818742,6.044584,5.805458,6.031299,3.255888,3166400
10/16/1997,6.031299,6.031299,5.818742,5.845312,3.155487,1770200
10/17/1997,5.579616,5.592901,5.327205,5.340489,2.882967,3286800
10/20/1997,4.463693,4.782528,4.450408,4.67625,2.524389,11499100
10/21/1997,4.888806,5.340489,4.862237,5.340489,2.882967,6924100
10/22/1997,4.915376,4.928661,4.702819,4.716104,2.545904,4457800
10/23/1997,4.569971,4.569971,4.251136,4.437123,2.395301,12493100
10/24/1997,4.543402,4.569971,4.091718,4.197997,2.266213,9497900
10/27/1997,4.091718,4.091718,3.62675,3.640035,1.965007,4904100
10/28/1997,3.347769,4.463693,3.3212,4.463693,2.409644,10416800
10/29/1997,4.091718,4.211282,4.038579,4.051864,2.187326,7547200
10/30/1997,3.826022,3.98544,3.812738,3.945585,2.129954,2796300
10/31/1997,4.091718,4.29099,4.078434,4.197997,2.266213,3610300
11/3/1997,4.569971,4.888806,4.569971,4.822382,2.603276,6204800
11/4/1997,4.782528,4.875522,4.689534,4.822382,2.603276,3144600
11/5/1997,4.915376,5.247496,4.915376,5.207642,2.811251,3978700
11/6/1997,5.393629,5.420198,5.127933,5.181072,2.796909,3649300
11/7/1997,4.809098,5.088078,4.782528,5.061509,2.732364,4470300
11/10/1997,5.260781,5.28735,5.074794,5.088078,2.746708,2434600
11/11/1997,4.995085,5.074794,4.968515,4.9818,2.689335,2194000
11/12/1997,4.822382,4.822382,4.689534,4.702819,2.538732,3904600
11/13/1997,4.755959,4.928661,4.596541,4.662965,2.517218,2481600
11/14/1997,4.755959,4.822382,4.596541,4.662965,2.517218,2205400
11/17/1997,4.9818,4.995085,4.888806,4.995085,2.696506,3289800
11/18/1997,4.835667,4.835667,4.64968,4.67625,2.524389,2240200
11/19/1997,4.62311,4.62311,4.490263,4.543402,2.452674,1442300
11/20/1997,4.450408,4.516832,4.423839,4.437123,2.395301,2577600
11/21/1997,4.463693,4.662965,4.463693,4.662965,2.517218,4222500
11/24/1997,4.437123,4.569971,4.437123,4.556686,2.459845,2254200
11/25/1997,4.583256,4.742673,4.583256,4.67625,2.524389,1083200
11/26/1997,4.62311,4.636395,4.543402,4.596541,2.48136,1135900
11/28/1997,4.67625,4.67625,4.662965,4.67625,2.524389,1082500
12/1/1997,4.463693,4.463693,4.397269,4.463693,2.409644,2364500
12/2/1997,4.503547,4.543402,4.450408,4.463693,2.409644,2202400
12/3/1997,4.543402,4.543402,4.423839,4.490263,2.423987,2782900
12/4/1997,4.702819,4.742673,4.67625,4.67625,2.524389,2720900
12/5/1997,4.67625,4.729389,4.64968,4.689534,2.53156,1795800
12/8/1997,4.862237,4.995085,4.862237,4.888806,2.639134,2019400
12/9/1997,4.782528,4.782528,4.67625,4.67625,2.524389,1486400
12/10/1997,4.742673,4.742673,4.463693,4.476978,2.416816,1393400
12/11/1997,4.277706,4.29099,4.211282,4.277706,2.309242,3127800
12/12/1997,4.264421,4.330845,4.237851,4.237851,2.287727,2271400
12/15/1997,4.211282,4.211282,3.879162,3.879162,2.094096,5162100
12/16/1997,3.879162,4.065149,3.852592,3.998725,2.15864,3736000
12/17/1997,4.01201,4.051864,3.852592,3.865877,2.086924,3309500
12/18/1997,3.839307,3.839307,3.719744,3.719744,2.008037,1022400
12/19/1997,3.693174,3.998725,3.666605,3.945585,2.129954,3055400
12/22/1997,3.919016,3.98544,3.865877,3.905731,2.108438,1265700
12/23/1997,3.839307,3.839307,3.772883,3.786168,2.043895,812900
12/24/1997,3.786168,3.839307,3.759598,3.772883,2.036723,742100
12/26/1997,3.772883,3.839307,3.772883,3.826022,2.06541,291800
12/29/1997,3.879162,3.905731,3.839307,3.852592,2.079752,950500
12/30/1997,3.879162,3.98544,3.879162,3.98544,2.151468,1464600
12/31/1997,3.98544,3.98544,3.826022,3.865877,2.086924,916800
1/2/1998,3.852592,3.919016,3.839307,3.919016,2.11561,568200
1/5/1998,3.919016,3.945585,3.839307,3.905731,2.108438,1748900
1/6/1998,3.865877,3.865877,3.812738,3.826022,2.06541,1503200
1/7/1998,3.746314,3.746314,3.454048,3.454048,1.864606,1336000
1/8/1998,3.400909,3.414194,3.29463,3.29463,1.778547,4583300
1/9/1998,3.29463,3.307915,3.082074,3.095358,1.670974,5332000
1/12/1998,3.028934,3.241491,2.842947,3.201637,1.728346,3468600
1/13/1998,3.334485,3.600181,3.3212,3.573611,1.92915,2123100
1/14/1998,3.786168,3.786168,3.547042,3.640035,1.965007,2802700
1/15/1998,3.613466,3.640035,3.533757,3.586896,1.936321,1833200
1/16/1998,3.733029,3.733029,3.693174,3.706459,2.000865,2318800
1/20/1998,3.799453,3.972155,3.799453,3.919016,2.11561,3269800
1/21/1998,3.905731,4.01201,3.892447,3.998725,2.15864,2870500
1/22/1998,3.998725,4.118288,3.932301,4.105003,2.216012,1797800
1/23/1998,4.211282,4.224566,4.118288,4.197997,2.266213,1194700
1/26/1998,4.490263,4.516832,4.397269,4.516832,2.43833,3287300
1/27/1998,4.543402,4.67625,4.530117,4.64968,2.510046,2171100
1/28/1998,4.67625,4.888806,4.67625,4.888806,2.639134,3174400
1/29/1998,4.888806,4.888806,4.67625,4.67625,2.524389,3232400
1/30/1998,4.729389,5.074794,4.716104,5.048224,2.725194,4948800
2/2/1998,5.127933,5.260781,5.114648,5.207642,2.811251,2353300
2/3/1998,5.420198,5.566331,5.353775,5.553046,2.997712,5174100
2/4/1998,5.473338,5.473338,5.181072,5.247496,2.832766,2419200
2/5/1998,5.473338,5.526477,5.274065,5.28735,2.85428,1633700
2/6/1998,5.247496,5.28735,5.114648,5.260781,2.839938,1084000
2/9/1998,5.260781,5.28735,5.061509,5.074794,2.739536,1853700
2/10/1998,5.154502,5.300635,5.141218,5.234211,2.825595,1728000
2/11/1998,5.406914,5.406914,5.28735,5.393629,2.911654,3018100
2/12/1998,5.513192,5.632755,5.486622,5.632755,3.040741,3441600
2/13/1998,5.553046,5.553046,5.473338,5.499907,2.969025,1758900
2/17/1998,5.712464,5.765603,5.67261,5.699179,3.076599,2099300
2/18/1998,5.712464,5.805458,5.699179,5.792173,3.126801,1625200
2/19/1998,5.925021,5.925021,5.871881,5.925021,3.198516,1119900
2/20/1998,5.951591,5.951591,5.752318,5.765603,3.112458,1715800
2/23/1998,5.739034,5.765603,5.606185,5.632755,3.040741,1025800
2/24/1998,5.685894,5.792173,5.64604,5.752318,3.105285,2524300
2/25/1998,5.845312,6.257141,5.832027,6.177432,3.334775,3694200
2/26/1998,6.456413,6.456413,6.296995,6.323565,3.413663,1549000
2/27/1998,6.243856,6.243856,6.031299,6.097723,3.291746,980400
3/2/1998,6.097723,6.111008,5.991445,5.991445,3.234373,776400
3/3/1998,5.925021,6.00473,5.818742,5.938305,3.205687,2349800
3/4/1998,5.685894,5.739034,5.632755,5.64604,3.047913,1771700
3/5/1998,5.300635,5.31392,5.114648,5.127933,2.768223,2941500
3/6/1998,5.327205,5.699179,5.327205,5.606185,3.026398,2973300
3/9/1998,5.367059,5.513192,5.31392,5.446768,2.94034,865800
3/10/1998,5.473338,5.566331,5.473338,5.566331,3.004884,1176900
3/11/1998,5.792173,5.845312,5.778888,5.792173,3.126801,1090000
3/12/1998,5.792173,5.792173,5.632755,5.712464,3.083771,471100
3/13/1998,5.765603,5.778888,5.659325,5.712464,3.083771,890400
3/16/1998,5.792173,5.792173,5.685894,5.685894,3.069428,1241600
3/17/1998,5.699179,5.699179,5.446768,5.460053,2.947511,2249800
3/18/1998,5.393629,5.393629,5.327205,5.340489,2.882967,2121500
3/19/1998,5.393629,5.499907,5.393629,5.473338,2.954683,1309400
3/20/1998,5.486622,5.526477,5.433483,5.460053,2.947511,1987500
3/23/1998,5.300635,5.340489,5.28735,5.31392,2.868624,726400
3/24/1998,5.420198,5.526477,5.420198,5.499907,2.969025,930300
3/25/1998,5.739034,5.792173,5.685894,5.739034,3.098114,2439100
3/26/1998,5.685894,5.712464,5.659325,5.699179,3.076599,907100
